deposition_tool,technology_node,avg_yield,std_yield,wafer_count,fleet_mean,fleet_std,gap_vs_fleet,yield_rank,tool_status
DEP_03,7nm,0.59,0.15,75,0.58,0.15,0.01,1,Watch -- unstable yield
DEP_01,7nm,0.58,0.15,125,0.58,0.15,-0.01,2,Stable
DEP_02,10nm,0.62,0.14,100,0.59,0.16,0.03,1,Best Performer -- high yield & stable
DEP_01,10nm,0.59,0.15,150,0.59,0.16,-0.01,2,Stable
DEP_03,10nm,0.58,0.17,125,0.59,0.16,-0.01,3,Watch -- unstable yield
DEP_01,14nm,0.34,0.1,175,0.34,0.09,0,1,Watch -- unstable yield
DEP_02,14nm,0.34,0.08,75,0.34,0.09,0,2,Stable
DEP_03,22nm,0.35,0.1,100,0.34,0.09,0.01,1,Watch -- unstable yield
DEP_01,22nm,0.32,0.07,25,0.34,0.09,-0.03,2,Stable
DEP_01,28nm,0.37,0.08,100,0.34,0.09,0.02,1,Best Performer -- high yield & stable
DEP_02,28nm,0.34,0.09,100,0.34,0.09,-0.01,2,Watch -- unstable yield
DEP_03,28nm,0.33,0.08,100,0.34,0.09,-0.01,3,Stable
