litho_tool,technology_node,avg_yield,std_yield,wafer_count,fleet_mean,fleet_std,gap_vs_fleet,yield_rank,tool_status
LITHO_04,7nm,0.59,0.14,75,0.58,0.15,0.01,1,Best Performer -- high yield & stable
LITHO_01,7nm,0.58,0.15,75,0.58,0.15,0,2,Watch -- unstable yield
LITHO_03,7nm,0.58,0.16,50,0.58,0.15,-0.01,3,Watch -- unstable yield
LITHO_02,10nm,0.64,0.16,50,0.59,0.16,0.05,1,Best Performer -- high yield & stable
LITHO_03,10nm,0.63,0.17,25,0.59,0.16,0.04,2,Watch -- unstable yield
LITHO_01,10nm,0.61,0.16,175,0.59,0.16,0.01,3,Watch -- unstable yield
LITHO_04,10nm,0.55,0.14,125,0.59,0.16,-0.05,4,Stable
LITHO_03,14nm,0.36,0.1,75,0.34,0.09,0.02,1,Watch -- unstable yield
LITHO_02,14nm,0.34,0.08,75,0.34,0.09,0,2,Stable
LITHO_01,14nm,0.33,0.09,25,0.34,0.09,-0.01,3,Stable
LITHO_04,14nm,0.33,0.09,75,0.34,0.09,-0.02,4,Stable
LITHO_04,22nm,0.34,0.09,100,0.34,0.09,0,1,Best Performer -- high yield & stable
LITHO_02,22nm,0.33,0.11,25,0.34,0.09,-0.01,2,Watch -- unstable yield
LITHO_04,28nm,0.35,0.08,75,0.34,0.09,0.01,1,Best Performer -- high yield & stable
LITHO_03,28nm,0.34,0.09,75,0.34,0.09,0,2,Watch -- unstable yield
LITHO_02,28nm,0.34,0.09,75,0.34,0.09,0,3,Watch -- unstable yield
LITHO_01,28nm,0.34,0.09,75,0.34,0.09,0,4,Watch -- unstable yield
