"lot_id","technology_node","product_type","process_date","etch_tools","litho_tools","deposition_tools","implant_tools","wafer_count","avg_yield","std_yield","min_yield","max_yield","ooc_wafer_count","warning_wafer_count","er_ooc_count","dr_ooc_count","cd_ooc_count","ot_ooc_count","avg_defect_count","avg_defect_density","avg_cd","avg_oxide_thickness","avg_vth","avg_resistance","avg_etch_rate","avg_deposition_rate","yield_risk_status","worst_yield_rank","ooc_rate_pct"
LOT_0024,"28nm",FPGA,2023-01-24,ETCH_01,LITHO_03,DEP_02,IMP_01,25,0.310,0.103,0.150,0.665,1,4,0,0,0,1,672.36,0.943,27.708,60.535,0.692,103.713,3.587,1.928,Critical,1,4.0
LOT_0043,"14nm",ASIC,2023-02-12,ETCH_04,LITHO_04,DEP_01,IMP_01,25,0.312,0.082,0.184,0.472,0,8,0,0,0,0,778.08,1.087,28.492,59.120,0.704,102.332,3.731,1.789,Critical,1,0.0
LOT_0048,"28nm",GPU,2023-02-17,ETCH_05,LITHO_01,DEP_03,IMP_01,25,0.314,0.069,0.214,0.464,0,2,0,0,0,0,743.52,1.051,28.305,60.522,0.688,101.567,3.622,1.840,Critical,1,0.0
LOT_0041,"22nm",GPU,2023-02-10,ETCH_04,LITHO_04,DEP_01,IMP_02,25,0.315,0.075,0.185,0.449,1,4,0,0,0,1,740.40,1.039,28.594,60.074,0.698,100.445,3.733,1.793,Critical,1,4.0
LOT_0036,"22nm",Memory,2023-02-05,ETCH_04,LITHO_04,DEP_03,IMP_01,25,0.323,0.074,0.213,0.424,0,3,0,0,0,0,707.28,1.001,28.481,59.764,0.689,101.820,3.653,1.889,Critical,1,0.0
LOT_0039,"14nm",GPU,2023-02-08,ETCH_04,LITHO_02,DEP_01,IMP_02,25,0.324,0.103,0.155,0.544,1,3,1,0,0,0,722.52,1.025,27.761,61.295,0.662,104.887,3.668,1.814,Critical,1,4.0
LOT_0028,"22nm",FPGA,2023-01-28,ETCH_02,LITHO_02,DEP_03,IMP_02,25,0.331,0.106,0.181,0.618,0,4,0,0,0,0,679.84,0.953,28.220,60.739,0.691,101.917,3.722,1.891,Critical,1,0.0
LOT_0025,"14nm",CPU,2023-01-25,ETCH_03,LITHO_02,DEP_01,IMP_01,25,0.333,0.066,0.222,0.472,0,3,0,0,0,0,689.16,0.965,28.143,59.977,0.692,102.682,3.603,1.905,Critical,1,0.0
LOT_0029,"14nm",ASIC,2023-01-29,ETCH_04,LITHO_04,DEP_01,IMP_01,25,0.333,0.111,0.148,0.689,0,5,0,0,0,0,701.28,0.995,27.266,61.825,0.667,101.642,3.624,1.879,Critical,2,0.0
LOT_0022,"28nm",Memory,2023-01-22,ETCH_02,LITHO_01,DEP_03,IMP_02,25,0.335,0.114,0.207,0.722,0,5,0,0,0,0,642.48,0.907,27.933,59.684,0.663,102.218,3.639,1.909,Critical,1,0.0
LOT_0004,"14nm",GPU,2023-01-04,ETCH_01,LITHO_01,DEP_02,IMP_01,25,0.335,0.089,0.150,0.548,0,3,0,0,0,0,657.32,0.911,28.201,60.442,0.690,103.449,3.518,1.958,Critical,2,0.0
LOT_0014,"14nm",FPGA,2023-01-14,ETCH_02,LITHO_04,DEP_02,IMP_03,25,0.335,0.084,0.212,0.476,0,4,0,0,0,0,635.12,0.899,27.480,60.261,0.679,102.204,3.588,1.974,Critical,1,0.0
LOT_0007,"28nm",Memory,2023-01-07,ETCH_03,LITHO_02,DEP_03,IMP_01,25,0.336,0.079,0.217,0.473,0,7,0,0,0,0,652.76,0.920,28.429,59.988,0.682,102.465,3.531,1.960,Critical,2,0.0
LOT_0034,"28nm",GPU,2023-02-03,ETCH_05,LITHO_04,DEP_01,IMP_02,25,0.336,0.079,0.208,0.462,0,4,0,0,0,0,696.04,0.990,28.038,60.557,0.687,103.118,3.557,1.833,Critical,2,0.0
LOT_0016,"28nm",FPGA,2023-01-16,ETCH_03,LITHO_04,DEP_03,IMP_02,25,0.339,0.069,0.242,0.465,1,2,1,0,0,0,644.16,0.912,28.458,59.905,0.675,102.913,3.601,1.954,Critical,2,4.0
LOT_0049,"28nm",ASIC,2023-02-18,ETCH_05,LITHO_03,DEP_02,IMP_01,25,0.340,0.077,0.238,0.495,1,1,0,0,1,0,706.48,1.004,27.926,59.251,0.661,102.003,3.649,1.881,Critical,1,4.0
LOT_0023,"28nm",FPGA,2023-01-23,ETCH_02,LITHO_02,DEP_02,IMP_01,25,0.344,0.072,0.205,0.477,0,3,0,0,0,0,653.88,0.916,28.087,59.089,0.682,101.906,3.683,1.922,Critical,3,0.0
LOT_0011,"28nm",GPU,2023-01-11,ETCH_02,LITHO_02,DEP_02,IMP_02,25,0.346,0.109,0.197,0.566,0,3,0,0,0,0,672.40,0.934,26.744,59.578,0.652,101.889,3.567,1.951,Critical,3,0.0
LOT_0009,"14nm",ASIC,2023-01-09,ETCH_04,LITHO_03,DEP_01,IMP_02,25,0.352,0.091,0.235,0.669,0,3,0,0,0,0,624.84,0.894,27.866,60.616,0.685,102.673,3.529,1.922,Warning,3,0.0
