"technology_node","lot_id","wafer_id","etch_rate","deposition_rate","critical_dimension","oxide_thickness","yield","er_flag","dr_flag","cd_flag","ot_flag"
"7nm",LOT_0040,W023,3.74,1.85,18.70,46.55,0.29,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W015,3.66,1.96,17.31,44.60,0.31,IN_CONTROL,IN_CONTROL,IN_CONTROL,WARNING
"7nm",LOT_0037,W011,3.54,1.96,18.55,46.70,0.32,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W008,3.66,1.90,17.32,48.15,0.33,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W013,3.56,1.72,19.77,51.33,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W023,3.77,1.82,18.41,49.53,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W025,3.79,1.92,19.11,49.19,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W010,3.72,1.85,19.25,46.70,0.34,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W008,3.69,1.84,15.34,49.69,0.35,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0026,W017,3.54,1.94,19.36,48.32,0.35,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W020,3.79,1.74,20.65,49.55,0.36,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0040,W025,3.69,1.77,18.41,49.95,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W008,3.52,1.83,19.85,46.78,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W010,3.60,1.83,19.52,48.02,0.37,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W015,3.68,1.82,15.51,51.59,0.37,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0037,W002,3.63,1.67,17.20,51.38,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W014,3.68,1.96,17.63,52.50,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W006,3.63,1.78,18.38,50.33,0.38,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W025,3.64,1.68,17.80,48.21,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W014,3.71,1.99,17.99,53.13,0.39,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W007,3.62,2.07,18.90,49.33,0.40,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
"7nm",LOT_0046,W008,3.59,1.78,19.53,52.23,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0045,W001,3.64,1.86,18.13,52.39,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0040,W005,3.62,1.64,18.75,51.65,0.40,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W001,3.62,1.83,18.70,54.00,0.41,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0037,W012,3.71,1.83,19.87,49.37,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0047,W016,3.72,1.89,18.78,52.59,0.42,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W010,3.55,2.02,19.43,49.60,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W018,3.73,2.01,19.03,46.76,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0026,W013,3.60,1.83,19.41,50.00,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0020,W013,3.67,1.79,16.64,49.92,0.43,IN_CONTROL,IN_CONTROL,IN_CONTROL,IN_CONTROL
"7nm",LOT_0030,W022,3.66,1.86,20.61,49.12,0.44,IN_CONTROL,IN_CONTROL,WARNING,IN_CONTROL
"7nm",LOT_0046,W022,3.71,1.59,17.16,53.60,0.44,IN_CONTROL,WARNING,IN_CONTROL,IN_CONTROL
