"technology_node","parameter_name","spc_status","wafer_count","status_rate"
"7nm",critical_dimension,IN_CONTROL,192,96.00
"7nm",critical_dimension,WARNING,8,4.00
"7nm",deposition_rate,IN_CONTROL,192,96.00
"7nm",deposition_rate,WARNING,7,3.50
"7nm",deposition_rate,OOC,1,0.50
"7nm",etch_rate,IN_CONTROL,193,96.50
"7nm",etch_rate,WARNING,6,3.00
"7nm",etch_rate,OOC,1,0.50
"7nm",oxide_thickness,IN_CONTROL,195,97.50
"7nm",oxide_thickness,WARNING,5,2.50
"10nm",critical_dimension,IN_CONTROL,362,96.53
"10nm",critical_dimension,WARNING,11,2.93
"10nm",critical_dimension,OOC,2,0.53
"10nm",deposition_rate,IN_CONTROL,358,95.47
"10nm",deposition_rate,WARNING,17,4.53
"10nm",etch_rate,IN_CONTROL,357,95.20
"10nm",etch_rate,WARNING,16,4.27
"10nm",etch_rate,OOC,2,0.53
"10nm",oxide_thickness,IN_CONTROL,357,95.20
"10nm",oxide_thickness,WARNING,18,4.80
"14nm",critical_dimension,IN_CONTROL,236,94.40
"14nm",critical_dimension,WARNING,14,5.60
"14nm",deposition_rate,IN_CONTROL,243,97.20
"14nm",deposition_rate,WARNING,7,2.80
"14nm",etch_rate,IN_CONTROL,240,96.00
"14nm",etch_rate,WARNING,9,3.60
"14nm",etch_rate,OOC,1,0.40
"14nm",oxide_thickness,IN_CONTROL,240,96.00
"14nm",oxide_thickness,WARNING,10,4.00
"22nm",critical_dimension,IN_CONTROL,120,96.00
"22nm",critical_dimension,WARNING,5,4.00
"22nm",deposition_rate,IN_CONTROL,121,96.80
"22nm",deposition_rate,WARNING,4,3.20
"22nm",etch_rate,IN_CONTROL,122,97.60
"22nm",etch_rate,WARNING,3,2.40
"22nm",oxide_thickness,IN_CONTROL,121,96.80
"22nm",oxide_thickness,WARNING,3,2.40
"22nm",oxide_thickness,OOC,1,0.80
"28nm",critical_dimension,IN_CONTROL,287,95.67
"28nm",critical_dimension,WARNING,12,4.00
"28nm",critical_dimension,OOC,1,0.33
"28nm",deposition_rate,IN_CONTROL,285,95.00
"28nm",deposition_rate,WARNING,15,5.00
"28nm",etch_rate,IN_CONTROL,288,96.00
"28nm",etch_rate,WARNING,11,3.67
"28nm",etch_rate,OOC,1,0.33
"28nm",oxide_thickness,IN_CONTROL,287,95.67
"28nm",oxide_thickness,WARNING,12,4.00
"28nm",oxide_thickness,OOC,1,0.33
