"technology_node","yield_group","wafer_count","avg_yield","avg_etch_rate","avg_deposition_rate","avg_cd","avg_oxide_thickness"
"7nm",High Yield,132,0.665,3.649,1.842,18.008,50.011
"7nm",Low Yield,9,0.331,3.681,1.868,18.196,48.048
"7nm",Medium Yield,59,0.439,3.647,1.836,18.210,50.314
"10nm",High Yield,256,0.677,3.608,1.921,21.871,55.162
"10nm",Low Yield,19,0.305,3.614,1.871,23.679,54.302
"10nm",Medium Yield,100,0.437,3.615,1.899,22.166,55.063
"14nm",High Yield,9,0.612,3.532,1.974,24.343,61.176
"14nm",Low Yield,136,0.276,3.598,1.915,28.123,60.717
"14nm",Medium Yield,105,0.404,3.588,1.893,27.869,60.100
"22nm",High Yield,6,0.580,3.648,1.939,27.464,57.761
"22nm",Low Yield,72,0.277,3.649,1.890,28.233,60.398
"22nm",Medium Yield,47,0.406,3.627,1.896,28.179,59.558
"28nm",High Yield,14,0.557,3.616,1.912,25.878,60.093
"28nm",Low Yield,160,0.279,3.595,1.921,28.238,60.047
"28nm",Medium Yield,126,0.404,3.623,1.916,27.835,59.576
