"technology_node","product_type","wafer_count","avg_yield","max_yield","min_yield","std_yield"
"7nm",FPGA,100,0.60,0.92,0.29,0.16
"7nm",GPU,50,0.58,0.92,0.34,0.15
"7nm",CPU,50,0.56,0.87,0.32,0.13
"10nm",CPU,150,0.62,0.96,0.29,0.16
"10nm",GPU,50,0.62,0.97,0.34,0.15
"10nm",ASIC,50,0.60,0.98,0.28,0.17
"10nm",FPGA,25,0.58,0.82,0.37,0.11
"10nm",Memory,100,0.55,0.98,0.21,0.16
"14nm",Memory,25,0.37,0.69,0.22,0.11
"14nm",CPU,75,0.35,0.76,0.18,0.08
"14nm",FPGA,25,0.34,0.48,0.21,0.08
"14nm",GPU,50,0.33,0.55,0.15,0.10
"14nm",ASIC,75,0.33,0.69,0.15,0.10
"22nm",ASIC,25,0.36,0.61,0.23,0.08
"22nm",FPGA,50,0.35,0.62,0.18,0.11
"22nm",Memory,25,0.32,0.42,0.21,0.07
"22nm",GPU,25,0.32,0.45,0.18,0.07
"28nm",ASIC,50,0.36,0.59,0.23,0.08
"28nm",Memory,75,0.35,0.72,0.21,0.09
"28nm",GPU,100,0.34,0.61,0.20,0.09
"28nm",FPGA,75,0.33,0.66,0.15,0.08
