"technology_node","yield","er_z_score","dr_z_score","cd_z_score","ot_z_score","spc_status"
"7nm",0.731,-2.615,-0.364,1.377,-0.081,Warning
"7nm",0.691,0.135,0.521,1.446,0.870,Normal
"7nm",0.682,1.569,1.098,-0.531,-0.382,Normal
"7nm",0.435,0.080,0.190,2.359,-0.445,Warning
"7nm",0.924,-0.573,1.161,-0.523,1.968,Normal
"7nm",0.687,-1.767,-0.204,-0.128,0.623,Normal
"7nm",0.634,1.755,-0.668,1.486,-0.769,Normal
"7nm",0.429,0.931,1.644,0.891,-1.627,Normal
"7nm",0.446,-0.336,0.226,-0.692,-0.646,Normal
"7nm",0.516,0.940,-0.317,-1.567,-1.692,Normal
"7nm",0.579,0.723,1.082,-1.190,-0.117,Normal
"7nm",0.626,0.931,0.634,-0.386,-0.952,Normal
"7nm",0.457,0.326,-1.099,-2.279,-1.214,Warning
"7nm",0.568,0.307,0.605,-0.035,-1.846,Normal
"7nm",0.713,1.783,1.477,-0.509,-0.232,Normal
"7nm",0.345,0.751,0.058,1.094,-1.662,Normal
"7nm",0.447,0.108,-0.097,-1.170,1.063,Normal
"7nm",0.441,-0.205,-0.346,1.270,-0.552,Normal
"7nm",0.759,-1.389,0.949,0.413,-1.517,Normal
"7nm",0.576,-1.191,1.618,2.002,0.037,Warning
"7nm",0.896,-0.291,0.860,-0.392,-0.132,Normal
"7nm",0.524,-1.141,0.113,0.583,0.567,Normal
"7nm",0.643,-0.463,-0.806,-0.665,0.032,Normal
"7nm",0.568,0.186,0.295,0.500,0.602,Normal
"7nm",0.412,-0.345,-0.110,0.577,1.999,Normal
"7nm",0.344,1.562,0.742,0.963,-0.412,Normal
"7nm",0.742,-0.015,0.906,-0.636,0.798,Normal
"7nm",0.773,-0.019,-0.048,0.918,-2.048,Warning
"7nm",0.438,0.663,-2.436,-0.851,1.796,Warning
"7nm",0.659,-1.582,-0.455,0.519,-0.137,Normal
"7nm",0.356,1.554,-0.956,2.391,-0.230,Warning
"7nm",0.528,-0.391,-0.856,-0.486,-1.430,Normal
"7nm",0.584,1.011,-0.029,-1.704,0.407,Normal
"7nm",0.770,-1.294,0.402,1.297,0.296,Normal
"7nm",0.468,-0.046,-1.458,0.682,0.170,Normal
"7nm",0.542,-0.193,0.016,-0.877,-0.043,Normal
"7nm",0.880,-1.548,-1.277,-0.231,-1.203,Normal
"7nm",0.340,-0.977,-1.136,1.576,0.659,Normal
"7nm",0.607,-0.439,-1.990,0.280,-0.676,Normal
"7nm",0.534,-0.483,-1.536,0.517,-1.158,Normal
"7nm",0.610,-2.112,-1.929,0.067,-1.062,Warning
"7nm",0.468,-0.620,-0.433,-1.232,-0.799,Normal
"7nm",0.399,-0.699,-0.541,1.347,1.113,Normal
"7nm",0.626,-0.371,0.340,-0.268,-0.437,Normal
"7nm",0.382,-0.208,-0.545,0.284,0.161,Normal
"7nm",0.604,0.465,-0.056,0.730,-1.573,Normal
"7nm",0.759,0.234,-1.354,-1.338,1.453,Normal
"7nm",0.486,0.748,-1.005,1.731,-0.012,Normal
"7nm",0.551,-0.585,0.165,-0.742,0.518,Normal
"7nm",0.810,-0.444,-2.213,-0.374,0.762,Warning
"7nm",0.889,1.392,0.149,0.835,1.990,Normal
"7nm",0.680,-1.850,2.750,-0.385,0.301,Warning
"7nm",0.600,0.217,0.718,-0.098,0.533,Normal
"7nm",0.735,-0.869,-0.767,-0.929,0.506,Normal
"7nm",0.462,-0.438,1.712,1.773,0.824,Normal
"7nm",0.443,0.786,1.020,-0.442,-0.374,Normal
"7nm",0.686,0.677,0.250,0.320,1.280,Normal
"7nm",0.793,0.934,-0.123,-0.446,0.214,Normal
"7nm",0.352,-1.263,0.939,1.197,-0.847,Normal
"7nm",0.789,0.830,0.472,0.231,-1.616,Normal
"7nm",0.784,-0.562,0.221,-0.263,1.014,Normal
"7nm",0.604,-1.319,0.345,-1.846,0.519,Normal
"7nm",0.432,-0.608,-0.127,1.238,-0.005,Normal
"7nm",0.818,0.261,-0.164,-0.565,-1.535,Normal
"7nm",0.578,-0.916,-1.194,0.717,-0.013,Normal
"7nm",0.578,-1.921,0.286,-1.239,0.312,Normal
"7nm",0.637,0.043,0.179,-0.530,0.368,Normal
"7nm",0.371,-1.404,-0.123,1.645,-1.620,Normal
"7nm",0.778,-1.001,1.731,-0.461,2.051,Warning
"7nm",0.658,-1.162,0.040,-0.936,-0.704,Normal
"7nm",0.655,0.305,0.042,0.296,1.967,Normal
"7nm",0.600,-1.202,-0.066,-0.291,0.920,Normal
"7nm",0.553,0.176,0.536,-0.353,1.616,Normal
"7nm",0.476,0.595,1.095,-1.532,-0.394,Normal
"7nm",0.914,-0.016,0.335,-0.944,0.320,Normal
"7nm",0.507,-1.902,0.243,-0.568,-0.322,Normal
"7nm",0.490,-1.986,-0.747,-1.138,-0.598,Normal
"7nm",0.786,-0.711,3.412,0.561,-0.066,OOC
"7nm",0.484,-0.491,0.292,1.097,0.769,Normal
"7nm",0.608,-0.978,-0.138,-0.519,0.359,Normal
"7nm",0.851,-0.518,-0.249,-0.145,0.253,Normal
"7nm",0.742,-0.118,0.558,0.557,-0.155,Normal
"7nm",0.445,-1.101,-0.230,1.702,0.278,Normal
"7nm",0.488,-1.260,0.832,-1.924,0.854,Normal
"7nm",0.720,-0.835,0.471,1.599,-0.619,Normal
"7nm",0.512,0.128,-0.594,-0.631,-0.828,Normal
"7nm",0.378,0.303,1.149,-0.419,1.249,Normal
"7nm",0.432,0.236,-0.496,-1.337,-0.046,Normal
"7nm",0.505,0.252,1.104,2.170,-1.482,Warning
"7nm",0.921,-1.728,1.307,0.433,0.601,Normal
"7nm",0.428,-1.107,1.698,1.257,-0.207,Normal
"7nm",0.716,0.151,0.024,1.466,0.038,Normal
"7nm",0.901,0.274,-1.029,1.704,0.115,Normal
"7nm",0.397,-0.342,2.234,0.769,-0.340,Warning
"7nm",0.921,-0.233,0.867,-0.351,-0.981,Normal
"7nm",0.530,0.205,1.714,0.440,0.884,Normal
"7nm",0.519,-1.106,1.369,-0.510,-1.597,Normal
"7nm",0.594,-0.671,-0.954,-0.492,-0.185,Normal
"7nm",0.676,-0.458,-1.320,0.274,1.421,Normal
"7nm",0.788,-0.045,-0.463,0.002,0.823,Normal
"7nm",0.635,0.557,-0.396,0.893,-0.865,Normal
"7nm",0.688,1.135,-0.909,-1.848,-0.926,Normal
"7nm",0.443,-0.227,-0.375,0.025,-0.732,Normal
"7nm",0.568,0.120,0.030,-0.346,-1.823,Normal
"7nm",0.641,-1.799,-0.263,-0.038,-0.517,Normal
"7nm",0.466,-2.143,0.378,-0.516,-0.195,Warning
"7nm",0.631,-0.156,1.148,0.146,0.378,Normal
"7nm",0.734,-0.650,1.053,-0.352,-1.609,Normal
"7nm",0.627,-0.203,-0.442,-0.637,1.560,Normal
"7nm",0.600,-0.776,-0.595,1.673,0.364,Normal
"7nm",0.492,-0.344,0.052,-0.801,0.740,Normal
"7nm",0.622,-0.076,-0.435,-1.392,1.191,Normal
"7nm",0.555,-0.389,-0.029,-0.017,1.296,Normal
"7nm",0.493,-0.086,-0.279,-1.185,-0.827,Normal
"7nm",0.736,-1.254,0.208,-0.432,0.680,Normal
"7nm",0.747,-0.904,-2.117,1.430,-0.663,Warning
"7nm",0.541,0.138,0.848,-0.832,-0.512,Normal
"7nm",0.334,0.074,0.519,-0.705,-0.932,Normal
"7nm",0.866,-1.047,1.101,0.328,0.996,Normal
"7nm",0.486,-1.268,-1.381,-0.620,0.018,Normal
"7nm",0.444,0.617,0.013,-1.021,0.918,Normal
"7nm",0.480,-0.027,1.320,-0.422,0.448,Normal
"7nm",0.521,2.654,1.124,-0.930,-1.100,Warning
"7nm",0.779,-1.291,0.757,0.883,-0.200,Normal
"7nm",0.401,-0.102,0.227,0.052,1.191,Normal
"7nm",0.370,0.436,-0.641,0.306,-0.033,Normal
"7nm",0.687,-0.687,-0.124,-1.264,-0.276,Normal
"7nm",0.292,0.984,0.057,0.577,-1.737,Normal
"7nm",0.449,-0.441,0.126,0.717,0.928,Normal
"7nm",0.542,0.463,1.002,-0.283,-1.770,Normal
"7nm",0.739,0.490,-0.619,-0.533,-0.804,Normal
"7nm",0.574,-0.260,-1.079,-1.265,1.350,Normal
"7nm",0.746,-0.417,-0.153,-0.657,0.900,Normal
"7nm",0.820,0.958,-1.591,-0.089,-0.274,Normal
"7nm",0.731,1.146,-0.766,1.430,-0.346,Normal
"7nm",0.310,0.162,1.173,-0.714,-2.715,Warning
"7nm",0.674,-0.016,-0.726,-0.692,0.400,Normal
"7nm",0.685,0.893,-0.407,-0.102,-0.700,Normal
"7nm",0.535,0.226,-1.248,-0.015,-0.118,Normal
"7nm",0.568,0.463,0.462,-0.355,0.385,Normal
"7nm",0.443,0.370,-1.497,-1.535,-0.083,Normal
"7nm",0.861,-1.002,-0.699,-0.198,1.153,Normal
"7nm",0.465,-2.133,0.241,1.046,0.291,Warning
"7nm",0.749,-0.897,0.946,0.183,-0.672,Normal
"7nm",0.723,-0.753,2.115,-0.653,-1.148,Warning
"7nm",0.402,-0.368,-1.924,0.627,0.821,Normal
"7nm",0.611,0.582,0.317,0.263,-0.190,Normal
"7nm",0.508,1.708,-0.089,1.229,0.267,Normal
"7nm",0.472,-0.915,1.320,1.458,-0.680,Normal
"7nm",0.481,0.251,-0.649,0.579,2.013,Warning
"7nm",0.824,-0.517,1.799,1.491,1.274,Normal
"7nm",0.532,0.505,-1.337,-1.669,0.335,Normal
"7nm",0.559,-0.694,-0.620,-0.300,0.355,Normal
"7nm",0.498,0.820,-0.452,-0.634,0.425,Normal
"7nm",0.647,1.184,1.031,-0.267,1.207,Normal
"7nm",0.691,0.626,-0.849,-1.268,-1.182,Normal
"7nm",0.466,0.098,0.956,-1.142,0.842,Normal
"7nm",0.458,-0.413,-0.533,-0.196,0.677,Normal
"7nm",0.450,1.084,0.990,1.028,-0.791,Normal
"7nm",0.665,-0.777,0.351,1.708,0.987,Normal
"7nm",0.374,0.333,-0.222,-2.388,0.793,Warning
"7nm",0.561,-0.460,-1.033,0.104,0.567,Normal
"7nm",0.683,0.497,-1.589,0.947,1.978,Normal
"7nm",0.421,0.702,-0.089,1.664,-0.323,Normal
"7nm",0.317,-1.224,1.124,0.443,-1.660,Normal
"7nm",0.372,-0.555,-0.148,1.343,-0.998,Normal
"7nm",0.530,0.900,0.437,-0.271,0.196,Normal
"7nm",0.350,0.426,0.022,-2.546,-0.160,Warning
"7nm",0.690,-0.412,-0.641,-0.009,-0.355,Normal
"7nm",0.602,-0.530,0.025,-0.974,-1.330,Normal
"7nm",0.540,1.758,1.901,-0.072,-1.530,Normal
"7nm",0.700,1.539,2.008,0.417,1.760,Warning
"7nm",0.576,1.238,0.229,-1.222,-0.333,Normal
"7nm",0.378,-0.178,-1.685,-0.813,0.684,Normal
"7nm",0.593,-0.775,0.204,0.562,1.686,Normal
"7nm",0.387,-0.094,-1.512,-0.254,-0.906,Normal
"7nm",0.470,0.828,0.039,-1.379,1.378,Normal
"7nm",0.344,1.387,-0.246,0.312,-0.240,Normal
"7nm",0.552,1.955,-1.164,-0.702,-0.370,Normal
"7nm",0.917,1.657,-0.988,-0.371,0.008,Normal
"7nm",0.782,1.056,-1.797,0.451,0.610,Normal
"7nm",0.561,1.767,-0.754,0.056,-0.564,Normal
"7nm",0.484,3.172,0.275,1.760,-0.532,OOC
"7nm",0.525,1.432,-1.605,-0.205,-0.266,Normal
"7nm",0.422,0.799,0.438,0.657,1.292,Normal
"7nm",0.563,1.408,-0.901,-0.896,-1.831,Normal
"7nm",0.394,0.644,1.470,-0.076,1.560,Normal
"7nm",0.624,0.034,0.032,-0.978,2.204,Warning
"7nm",0.620,0.878,1.841,0.651,0.368,Normal
"7nm",0.671,1.638,0.398,-1.472,-0.467,Normal
"7nm",0.504,0.811,-1.296,0.030,1.376,Normal
"7nm",0.492,0.961,-0.791,0.421,0.482,Normal
"7nm",0.481,0.555,0.420,0.175,0.911,Normal
"7nm",0.685,0.966,-0.523,-1.438,-0.601,Normal
"7nm",0.598,0.587,0.328,0.180,-0.738,Normal
"7nm",0.447,1.640,-1.356,-0.756,-1.710,Normal
"7nm",0.643,0.053,-1.455,0.118,-0.705,Normal
"7nm",0.775,1.333,-0.244,0.308,-0.554,Normal
"7nm",0.502,2.239,-0.830,2.347,0.987,Warning
"7nm",0.578,1.260,-0.903,0.249,-1.284,Normal
"10nm",0.667,1.299,-0.753,0.464,-0.192,Normal
"10nm",0.780,-2.126,0.219,-1.115,-0.196,Warning
"10nm",0.778,-2.055,-0.597,-1.903,0.284,Warning
"10nm",0.405,-1.201,-0.106,1.005,0.749,Normal
"10nm",0.935,-0.869,1.907,0.320,-0.560,Normal
"10nm",0.595,-2.169,0.514,-0.049,-1.690,Warning
"10nm",0.923,-0.971,1.843,-0.631,0.062,Normal
"10nm",0.391,-0.545,1.126,-0.374,-0.240,Normal
"10nm",0.892,-0.696,-0.170,0.409,0.776,Normal
"10nm",0.657,-0.656,0.626,-0.161,0.695,Normal
"10nm",0.648,-0.797,0.958,-1.026,0.472,Normal
"10nm",0.527,0.010,-0.070,-0.470,0.043,Normal
"10nm",0.736,-0.904,0.095,0.891,-1.222,Normal
"10nm",0.813,-0.172,-0.429,-1.406,-0.140,Normal
"10nm",0.940,0.033,0.714,-1.345,2.071,Warning
"10nm",0.725,-1.355,1.148,-1.929,-1.242,Normal
"10nm",0.679,0.152,0.737,-1.320,1.108,Normal
"10nm",0.554,-1.510,0.828,-0.735,1.307,Normal
"10nm",0.415,-0.671,1.240,-0.851,-0.012,Normal
"10nm",0.668,-0.788,-0.493,0.578,0.922,Normal
"10nm",0.748,-2.378,0.660,-0.181,0.082,Warning
"10nm",0.759,-1.569,0.796,-0.490,-0.375,Normal
"10nm",0.575,0.423,-1.096,-1.028,-0.544,Normal
"10nm",0.838,-1.607,0.691,-0.812,0.536,Normal
"10nm",0.693,-0.459,-0.705,-1.179,1.630,Normal
"10nm",0.400,-0.767,2.178,0.953,0.022,Warning
"10nm",0.680,-1.391,2.504,0.628,1.079,Warning
"10nm",0.763,-1.158,-0.383,-0.517,1.029,Normal
"10nm",0.554,0.215,0.612,-1.258,0.279,Normal
"10nm",0.510,-0.981,-0.663,-0.401,-0.354,Normal
"10nm",0.691,-1.107,1.035,-0.171,1.036,Normal
"10nm",0.775,-1.465,0.783,1.087,1.056,Normal
"10nm",0.944,-1.574,0.956,0.737,0.591,Normal
"10nm",0.400,-1.773,0.072,2.405,-1.409,Warning
"10nm",0.706,-0.227,-0.150,-2.062,0.356,Warning
"10nm",0.852,-0.854,0.639,-0.486,0.084,Normal
"10nm",0.508,-1.523,-0.007,-0.406,0.412,Normal
"10nm",0.765,-1.616,0.334,-1.330,-0.003,Normal
"10nm",0.553,-0.243,2.118,-1.002,0.044,Warning
"10nm",0.801,0.075,0.768,-1.444,-1.851,Normal
"10nm",0.904,-0.239,1.163,-1.131,1.261,Normal
"10nm",0.394,-0.933,0.703,-2.129,-0.965,Warning
"10nm",0.555,0.308,0.123,0.502,2.225,Warning
"10nm",0.666,-0.488,-0.597,-1.064,1.146,Normal
"10nm",0.463,0.493,-0.294,1.470,1.163,Normal
"10nm",0.852,0.746,1.672,0.735,0.948,Normal
"10nm",0.616,-0.476,1.158,-0.662,-1.302,Normal
"10nm",0.532,-0.684,0.445,1.218,0.142,Normal
"10nm",0.414,-0.450,0.722,-0.691,0.436,Normal
"10nm",0.544,0.458,0.542,0.417,-0.913,Normal
"10nm",0.491,0.396,2.125,-0.659,0.196,Warning
"10nm",0.422,-3.188,1.922,-1.450,-0.443,OOC
"10nm",0.651,-1.621,0.572,0.088,0.465,Normal
"10nm",0.726,-0.049,0.524,-0.094,0.458,Normal
"10nm",0.759,-0.334,1.421,-1.093,-0.317,Normal
"10nm",0.785,-0.819,0.444,-1.174,1.323,Normal
"10nm",0.773,-2.047,-0.283,0.877,2.059,Warning
"10nm",0.567,-0.982,-0.219,1.386,1.861,Normal
"10nm",0.829,-1.502,1.124,-0.323,0.409,Normal
"10nm",0.829,-1.386,0.334,-0.331,1.144,Normal
"10nm",0.831,-1.527,0.550,-0.054,-0.756,Normal
