"technology_node","parameter_name","parameter_status","wafer_count","status_rate_pct","min_yield","avg_yield","max_yield","avg_abs_z_score","max_abs_z_score"
"7nm",critical_dimension,NORMAL,192,96.00,0.29,0.59,0.92,0.75,1.92
"7nm",critical_dimension,WARNING,8,4.00,0.35,0.44,0.58,2.31,2.55
"7nm",deposition_rate,NORMAL,192,96.00,0.29,0.58,0.92,0.71,1.99
"7nm",deposition_rate,WARNING,7,3.50,0.40,0.64,0.81,2.27,2.75
"7nm",deposition_rate,OOC,1,0.50,0.79,0.79,0.79,3.41,3.41
"7nm",etch_rate,NORMAL,193,96.50,0.29,0.58,0.92,0.74,1.99
"7nm",etch_rate,WARNING,6,3.00,0.47,0.55,0.73,2.32,2.65
"7nm",etch_rate,OOC,1,0.50,0.48,0.48,0.48,3.17,3.17
"7nm",oxide_thickness,NORMAL,195,97.50,0.29,0.58,0.92,0.78,2.00
"7nm",oxide_thickness,WARNING,5,2.50,0.31,0.59,0.78,2.21,2.72
"10nm",critical_dimension,NORMAL,362,96.53,0.21,0.60,0.98,0.74,1.99
"10nm",critical_dimension,WARNING,11,2.93,0.30,0.49,0.88,2.29,2.61
"10nm",critical_dimension,OOC,2,0.53,0.45,0.56,0.67,3.90,4.73
"10nm",deposition_rate,NORMAL,358,95.47,0.25,0.60,0.98,0.71,1.99
"10nm",deposition_rate,WARNING,17,4.53,0.21,0.53,0.79,2.33,2.94
"10nm",etch_rate,NORMAL,357,95.20,0.21,0.59,0.98,0.71,2.00
"10nm",etch_rate,WARNING,16,4.27,0.37,0.63,0.78,2.32,2.89
"10nm",etch_rate,OOC,2,0.53,0.42,0.58,0.73,3.15,3.19
"10nm",oxide_thickness,NORMAL,357,95.20,0.21,0.60,0.98,0.73,1.96
"10nm",oxide_thickness,WARNING,18,4.80,0.37,0.58,0.95,2.25,2.84
"14nm",critical_dimension,NORMAL,236,94.40,0.15,0.34,0.67,0.70,2.00
"14nm",critical_dimension,WARNING,14,5.60,0.18,0.44,0.76,2.29,2.81
"14nm",deposition_rate,NORMAL,243,97.20,0.15,0.34,0.76,0.76,2.00
"14nm",deposition_rate,WARNING,7,2.80,0.23,0.34,0.40,2.40,2.96
"14nm",etch_rate,NORMAL,240,96.00,0.15,0.34,0.76,0.73,1.97
"14nm",etch_rate,WARNING,9,3.60,0.20,0.27,0.40,2.27,2.51
"14nm",etch_rate,OOC,1,0.40,0.36,0.36,0.36,3.13,3.13
"14nm",oxide_thickness,NORMAL,240,96.00,0.15,0.34,0.76,0.76,1.97
"14nm",oxide_thickness,WARNING,10,4.00,0.16,0.28,0.41,2.29,2.68
"22nm",critical_dimension,NORMAL,120,96.00,0.18,0.34,0.62,0.75,1.94
"22nm",critical_dimension,WARNING,5,4.00,0.29,0.34,0.41,2.26,2.67
"22nm",deposition_rate,NORMAL,121,96.80,0.18,0.34,0.62,0.72,1.97
"22nm",deposition_rate,WARNING,4,3.20,0.24,0.37,0.58,2.39,2.94
"22nm",etch_rate,NORMAL,122,97.60,0.18,0.34,0.62,0.82,1.91
"22nm",etch_rate,WARNING,3,2.40,0.32,0.38,0.41,2.22,2.25
"22nm",oxide_thickness,NORMAL,121,96.80,0.18,0.34,0.62,0.74,1.92
"22nm",oxide_thickness,WARNING,3,2.40,0.21,0.30,0.41,2.23,2.42
"22nm",oxide_thickness,OOC,1,0.80,0.19,0.19,0.19,3.22,3.22
"28nm",critical_dimension,NORMAL,287,95.67,0.15,0.34,0.67,0.73,2.00
"28nm",critical_dimension,WARNING,12,4.00,0.24,0.42,0.72,2.20,2.77
"28nm",critical_dimension,OOC,1,0.33,0.42,0.42,0.42,3.05,3.05
"28nm",deposition_rate,NORMAL,285,95.00,0.15,0.34,0.72,0.71,1.98
"28nm",deposition_rate,WARNING,15,5.00,0.21,0.34,0.45,2.38,2.96
"28nm",etch_rate,NORMAL,288,96.00,0.15,0.35,0.72,0.72,1.99
"28nm",etch_rate,WARNING,11,3.67,0.27,0.33,0.40,2.44,2.91
"28nm",etch_rate,OOC,1,0.33,0.30,0.30,0.30,3.07,3.07
"28nm",oxide_thickness,NORMAL,287,95.67,0.20,0.35,0.72,0.74,1.98
"28nm",oxide_thickness,WARNING,12,4.00,0.22,0.34,0.52,2.23,2.54
"28nm",oxide_thickness,OOC,1,0.33,0.15,0.15,0.15,3.56,3.56
